ral_id|query_id|kernel_id|is_kernel|kernel_type
0|808941968|0|1|TableScanKernel
0|808941968|1|1|OutputKernel
0|808941968|900000000|0|cache
0|1537532628|0|1|TableScanKernel
0|1537532628|1|1|OutputKernel
0|1537532628|900000001|0|cache
0|406901693|0|1|ProjectKernel
0|406901693|1|1|BindableTableScanKernel
0|406901693|900000002|0|cache
0|406901693|2|1|OutputKernel
0|406901693|900000003|0|cache
0|499702119|0|1|BindableTableScanKernel
0|499702119|1|1|OutputKernel
0|499702119|900000004|0|cache
0|902606975|0|1|BindableTableScanKernel
0|902606975|1|1|OutputKernel
0|902606975|900000005|0|cache
